_id,Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
3544,20210818,S92000003,AstraZeneca (Vaxzevria),,Dose 2,970,,2049857,,All vaccinations
3545,20210818,S92000003,Moderna (Spikevax),,Dose 1,230,,176973,,All vaccinations
3546,20210818,S92000003,Moderna (Spikevax),,Dose 2,1579,,68757,,All vaccinations
3547,20210818,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,2306,,1756926,,All vaccinations
3548,20210818,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,11790,,1402509,,All vaccinations
3549,20210818,S92000003,Total,,Dose 1,2704,,4072249,,All vaccinations
3550,20210818,S92000003,Total,4439078,Dose 1,1231,0.0277309837763608,4031544,90.8193998843904,18 years and over
3551,20210818,S92000003,Total,2875396,Dose 1,225,0.00782500914656625,2823281,98.1875539925631,40 years and over
3552,20210818,S92000003,Total,4549217,Dose 1,2469,0.0542730760040684,4068901,89.4417874548521,16 years and over
3553,20210818,S92000003,Total,,Dose 2,14339,,3521123,,All vaccinations
3554,20210818,S92000003,Total,4439078,Dose 2,14321,0.322612037905169,3512098,79.117735709983,18 years and over
3555,20210818,S92000003,Total,2875396,Dose 2,1132,0.0393684904618355,2722891,94.6962088004574,40 years and over
3556,20210818,S92000003,Total,4549217,Dose 2,14339,0.315197098753478,3521032,77.3986380513394,16 years and over
3557,20210819,S92000003,AstraZeneca (Vaxzevria),,Dose 1,189,,2138539,,All vaccinations
3558,20210819,S92000003,AstraZeneca (Vaxzevria),,Dose 2,1020,,2050877,,All vaccinations
3559,20210819,S92000003,Moderna (Spikevax),,Dose 1,225,,177198,,All vaccinations
3560,20210819,S92000003,Moderna (Spikevax),,Dose 2,1736,,70493,,All vaccinations
3561,20210819,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,2197,,1759123,,All vaccinations
3562,20210819,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,11292,,1413801,,All vaccinations
3563,20210819,S92000003,Total,,Dose 1,2611,,4074860,,All vaccinations
3564,20210819,S92000003,Total,4439078,Dose 1,1333,0.0300287582241177,4032877,90.8494286426145,18 years and over
3565,20210819,S92000003,Total,2875396,Dose 1,237,0.00824234296771645,2823518,98.1957963355308,40 years and over
